horizon_bucket,n,mae_model,mae_futures
1–2M,15,210.31101104235827,151.12666666666635
2–3M,15,301.8779719352144,240.70999999999967
>3M,198,690.8554461677678,619.2324747474745
≤1M (~21d),14,125.56852606478431,74.22357142857125
Overall,242,604.256910953672,535.226074380165
