horizon,model,R2,IC
1,Ridge,-0.09365415573120117,-0.02849929936112027
1,LSTM,0.019833385944366455,-0.00584676858951505
5,Ridge,-0.08862054347991943,-0.055768924852678675
5,LSTM,0.0009471774101257324,0.0034422189315198594
21,Ridge,-0.14362215995788574,-0.09479098678962351
21,LSTM,-0.028264641761779785,-0.09543681483937713
63,Ridge,-0.19130337238311768,-0.16266720881377977
63,LSTM,-0.02172219753265381,-0.015452871227086587
