model,L,sigma,seed,final_acc
Transformer,200,0.3,2,0.95275
RNN,200,0.5,0,0.496
LSTM,200,0.5,0,0.49075
Transformer,200,0.5,0,0.83925
RNN,200,0.5,1,0.4935
LSTM,200,0.5,1,0.49125
Transformer,200,0.5,1,0.84375
RNN,200,0.5,2,0.495
LSTM,200,0.5,2,0.49225
Transformer,200,0.5,2,0.8455
RNN,200,0.7,0,0.4935
LSTM,200,0.7,0,0.50075
Transformer,200,0.7,0,0.763
RNN,200,0.7,1,0.4935
LSTM,200,0.7,1,0.49125
Transformer,200,0.7,1,0.76425
RNN,200,0.7,2,0.49575
LSTM,200,0.7,2,0.491
Transformer,200,0.7,2,0.767
RNN,200,1.0,0,0.49525
LSTM,200,1.0,0,0.49675
Transformer,200,1.0,0,0.69875
RNN,200,1.0,1,0.4925
LSTM,200,1.0,1,0.49225
Transformer,200,1.0,1,0.6985
RNN,200,1.0,2,0.54025
LSTM,200,1.0,2,0.49375
Transformer,200,1.0,2,0.6975
RNN,500,0.0,0,0.50425
LSTM,500,0.0,0,0.50425
Transformer,500,0.0,0,1.0
RNN,500,0.0,1,0.5095
LSTM,500,0.0,1,0.50425
Transformer,500,0.0,1,1.0
RNN,500,0.0,2,0.50325
LSTM,500,0.0,2,0.50425
Transformer,500,0.0,2,1.0
RNN,500,0.1,0,0.5115
LSTM,500,0.1,0,0.49475
Transformer,500,0.1,0,1.0
RNN,500,0.1,1,0.508
LSTM,500,0.1,1,0.50625
Transformer,500,0.1,1,1.0
RNN,500,0.1,2,0.5075
LSTM,500,0.1,2,0.50925
Transformer,500,0.1,2,1.0
RNN,500,0.2,0,0.5075
LSTM,500,0.2,0,0.498
Transformer,500,0.2,0,0.9945
RNN,500,0.2,1,0.50625
LSTM,500,0.2,1,0.50725
Transformer,500,0.2,1,0.99525
RNN,500,0.2,2,0.5075
LSTM,500,0.2,2,0.5105
Transformer,500,0.2,2,0.9935
RNN,500,0.3,0,0.5615
LSTM,500,0.3,0,0.4945
Transformer,500,0.3,0,0.955
RNN,500,0.3,1,0.49975
LSTM,500,0.3,1,0.50525
Transformer,500,0.3,1,0.9545
RNN,500,0.3,2,0.5075
LSTM,500,0.3,2,0.511
Transformer,500,0.3,2,0.95425
RNN,500,0.5,0,0.5075
LSTM,500,0.5,0,0.493
Transformer,500,0.5,0,0.84525
RNN,500,0.5,1,0.76625
LSTM,500,0.5,1,0.513
Transformer,500,0.5,1,0.84475
RNN,500,0.5,2,0.5075
LSTM,500,0.5,2,0.498
Transformer,500,0.5,2,0.844
RNN,500,0.7,0,0.5
LSTM,500,0.7,0,0.4935
Transformer,500,0.7,0,0.76575
RNN,500,0.7,1,0.4925
LSTM,500,0.7,1,0.73625
Transformer,500,0.7,1,0.76525
RNN,500,0.7,2,0.50725
LSTM,500,0.7,2,0.50075
Transformer,500,0.7,2,0.769
RNN,500,1.0,0,0.49875
LSTM,500,1.0,0,0.49175
Transformer,500,1.0,0,0.70125
RNN,500,1.0,1,0.4925
LSTM,500,1.0,1,0.50975
Transformer,500,1.0,1,0.69875
RNN,500,1.0,2,0.50825
LSTM,500,1.0,2,0.507
Transformer,500,1.0,2,0.699
