seq_len,model,test_acc_mean,test_acc_std
50,LSTM,1.0,0.0
50,RNN,0.8344999999999999,0.23405234457274726
100,LSTM,0.83625,0.23157747083859428
100,RNN,0.6596666666666667,0.2406562497745603
200,LSTM,0.6718333333333334,0.23204887535938531
200,RNN,0.5028333333333334,0.0014337208778404176
500,LSTM,0.49774999999999997,0.0033416562759605536
500,RNN,0.49150000000000005,0.002653613888015112
