seq_len,model,test_acc_mean,test_acc_std
50,LSTM,0.4945,0.0
50,RNN,0.6595,0.24077202218419538
100,LSTM,0.5049166666666666,0.001585524799203334
100,RNN,0.49974999999999997,0.0057481881203268635
200,LSTM,0.49974999999999997,0.003588175023601812
200,RNN,0.5025000000000001,0.0008897565210026153
500,LSTM,0.4936666666666667,0.0029884035128401767
500,RNN,0.5013333333333333,0.004331730472788997
