,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC,VNQ
2019-11-01,0.071722,0.066171,0.070907,0.076567,0.069576,0.116434,0.113490,0.099667,0.076678,0.075847,0.066588,0.096355
2019-11-08,0.070173,0.071029,0.063170,0.072352,0.068890,0.124025,0.129876,0.087982,0.074275,0.090909,0.056579,0.090740
2019-11-15,0.071531,0.069819,0.071561,0.075954,0.093914,0.105270,0.096557,0.090273,0.072939,0.103933,0.069607,0.078642
2019-11-22,0.072564,0.073181,0.077349,0.074611,0.074897,0.100883,0.105046,0.090190,0.076346,0.102280,0.073446,0.079206
2019-11-29,0.079882,0.085894,0.078454,0.077907,0.083290,0.083435,0.092303,0.073487,0.072107,0.095501,0.086832,0.090909
2019-12-06,0.078327,0.083393,0.083214,0.082084,0.095436,0.080209,0.077923,0.084285,0.075914,0.058275,0.128676,0.072265
2019-12-13,0.063646,0.062208,0.062690,0.064679,0.070326,0.122319,0.125919,0.087373,0.073926,0.126268,0.065207,0.075439
2019-12-20,0.094058,0.087600,0.111015,0.078884,0.094656,0.062599,0.062050,0.065676,0.089315,0.082206,0.078907,0.093035
2019-12-27,0.075308,0.077012,0.081735,0.081377,0.079757,0.083001,0.089554,0.090813,0.092850,0.082756,0.089221,0.076617
2020-01-03,0.085473,0.090000,0.100182,0.079040,0.076776,0.083597,0.076663,0.078374,0.085645,0.087381,0.078036,0.078833
2020-01-10,0.112375,0.123149,0.092668,0.118319,0.122894,0.048539,0.050291,0.064639,0.085094,0.055520,0.056418,0.070092
2020-01-17,0.099385,0.100616,0.099266,0.096571,0.076719,0.063089,0.073489,0.073658,0.084231,0.072443,0.085306,0.075227
2020-01-24,0.073417,0.071321,0.087845,0.073150,0.071246,0.138583,0.093893,0.083432,0.083102,0.075534,0.071418,0.077059
2020-01-31,0.102210,0.102864,0.105643,0.079836,0.084861,0.053840,0.055351,0.064669,0.091675,0.060344,0.124198,0.074508
2020-02-07,0.116639,0.114020,0.113332,0.103243,0.099894,0.046767,0.045529,0.055243,0.081047,0.054248,0.089037,0.081002
2020-02-14,0.095925,0.094257,0.113715,0.102335,0.105984,0.050052,0.053736,0.061059,0.082770,0.069188,0.096695,0.074285
2020-02-21,0.084369,0.083035,0.101139,0.091533,0.085939,0.074739,0.072991,0.076396,0.088056,0.077361,0.089738,0.074704
2020-02-28,0.113070,0.140780,0.104919,0.086068,0.085422,0.054459,0.056522,0.067310,0.078762,0.052667,0.089616,0.070405
2020-03-06,0.087249,0.071785,0.122733,0.087134,0.077276,0.039459,0.039484,0.041927,0.057960,0.126948,0.132645,0.115402
2020-03-13,0.110193,0.112777,0.108345,0.099648,0.100174,0.032574,0.032347,0.038151,0.106464,0.062351,0.104360,0.092616
2020-03-20,0.051706,0.051963,0.053496,0.053683,0.054829,0.163991,0.170440,0.051726,0.054268,0.156390,0.083011,0.054498
2020-03-27,0.104681,0.108672,0.119523,0.111407,0.064763,0.036123,0.036586,0.039120,0.108169,0.044277,0.114791,0.111889
2020-04-03,0.122007,0.118480,0.121173,0.119924,0.113135,0.033259,0.036660,0.078091,0.050937,0.081549,0.068373,0.056412
2020-04-17,0.104088,0.104240,0.115905,0.108859,0.090549,0.051512,0.053530,0.097669,0.113423,0.048117,0.033232,0.078876
2020-04-24,0.046368,0.065583,0.043897,0.048937,0.056484,0.172392,0.142242,0.069923,0.066388,0.161202,0.073772,0.052810
2020-05-01,0.051982,0.051259,0.051825,0.056735,0.081630,0.073612,0.081833,0.092485,0.147130,0.099955,0.140439,0.071114
2020-05-08,0.105914,0.106419,0.105432,0.093846,0.099552,0.038346,0.046568,0.076054,0.105622,0.042617,0.083576,0.096053
2020-05-15,0.051224,0.055948,0.042504,0.053514,0.055077,0.166404,0.144253,0.154186,0.052818,0.123061,0.045971,0.055040
2020-05-22,0.073557,0.070337,0.056790,0.082451,0.128343,0.114692,0.100787,0.066960,0.079355,0.070226,0.058529,0.097975
2020-05-29,0.078245,0.074878,0.071648,0.092566,0.139788,0.063270,0.069145,0.086801,0.071481,0.066647,0.122373,0.063159
2020-06-05,0.083662,0.060864,0.136499,0.116897,0.065066,0.068029,0.070742,0.059982,0.075843,0.073391,0.054220,0.134805
2020-06-12,0.048990,0.054365,0.046277,0.058710,0.056551,0.169109,0.170310,0.064349,0.058345,0.169566,0.051203,0.052226
2020-06-19,0.064002,0.076179,0.054342,0.059810,0.061752,0.183450,0.145547,0.066634,0.058421,0.094056,0.081554,0.054253
2020-06-26,0.107918,0.080897,0.099860,0.092644,0.073776,0.074895,0.073928,0.072486,0.102556,0.053296,0.054561,0.113183
2020-07-10,0.117641,0.116883,0.117053,0.093949,0.077332,0.038162,0.045186,0.053273,0.105314,0.048158,0.096466,0.090582
2020-07-17,0.058626,0.067362,0.054098,0.060130,0.101958,0.128347,0.113788,0.111384,0.067887,0.095509,0.063471,0.077440
2020-07-24,0.083512,0.093182,0.085928,0.074505,0.077469,0.116091,0.098069,0.073951,0.076939,0.068044,0.083138,0.069172
2020-07-31,0.100875,0.113669,0.123015,0.086214,0.068892,0.072134,0.075062,0.093531,0.065697,0.052960,0.063301,0.084650
2020-08-07,0.060854,0.049141,0.127157,0.149322,0.097518,0.089017,0.078002,0.071643,0.071178,0.058141,0.062869,0.085156
2020-08-14,0.061002,0.107796,0.042370,0.071336,0.102333,0.099796,0.082484,0.088093,0.076152,0.112430,0.109038,0.047170
2020-08-21,0.074859,0.081690,0.077672,0.092106,0.073460,0.099382,0.067808,0.118716,0.084776,0.088489,0.070311,0.070730
2020-08-28,0.068650,0.062910,0.114059,0.097006,0.066838,0.058074,0.070842,0.067298,0.080942,0.116163,0.123323,0.073896
2020-09-04,0.080375,0.086966,0.079095,0.079477,0.073415,0.116269,0.083298,0.078905,0.100423,0.059256,0.075898,0.086623
2020-09-11,0.085805,0.102397,0.076634,0.055944,0.056879,0.121409,0.104910,0.120148,0.071640,0.053602,0.084924,0.065708
2020-09-18,0.084529,0.124633,0.116247,0.063209,0.066555,0.074900,0.070307,0.079710,0.073661,0.084112,0.064231,0.097907
2020-09-25,0.106895,0.113043,0.073905,0.086282,0.078490,0.081418,0.072516,0.080662,0.078462,0.063410,0.057444,0.107474
2020-10-02,0.058263,0.053101,0.060996,0.080938,0.087028,0.095754,0.082652,0.108501,0.108548,0.109192,0.092090,0.062937
2020-10-09,0.102834,0.137493,0.062381,0.071048,0.088512,0.088077,0.076033,0.068593,0.068181,0.071121,0.112567,0.053161
2020-10-16,0.073431,0.064503,0.084327,0.076035,0.080842,0.102089,0.103555,0.080389,0.084110,0.058794,0.084680,0.107244
2020-10-23,0.076548,0.098495,0.082419,0.064794,0.067370,0.089911,0.078586,0.089058,0.079592,0.087114,0.099803,0.086310
2020-10-30,0.080441,0.086924,0.077277,0.073876,0.077222,0.068321,0.077101,0.074854,0.083274,0.095535,0.126838,0.078338
2020-11-06,0.093726,0.124996,0.095859,0.071048,0.078396,0.106647,0.088803,0.098405,0.056565,0.054665,0.061104,0.069786
2020-11-13,0.070584,0.070459,0.092999,0.064514,0.062799,0.128573,0.102446,0.094326,0.086111,0.066571,0.080690,0.079930
2020-11-20,0.065659,0.075621,0.061287,0.065974,0.072427,0.111498,0.117879,0.088272,0.079760,0.076262,0.122052,0.063310
2020-11-27,0.113100,0.119422,0.079794,0.073437,0.071376,0.057853,0.069255,0.090369,0.091955,0.073269,0.068353,0.091816
2020-12-04,0.082088,0.070153,0.080215,0.073164,0.072741,0.060677,0.068228,0.070168,0.080652,0.143873,0.098893,0.099149
2020-12-11,0.061914,0.071517,0.050038,0.062791,0.063741,0.152960,0.123830,0.130512,0.064040,0.091149,0.066834,0.060673
2020-12-18,0.085324,0.093501,0.097381,0.087698,0.093623,0.069354,0.067966,0.074746,0.085050,0.075520,0.090056,0.079782
2021-01-08,0.088099,0.087809,0.087973,0.086070,0.072806,0.090453,0.081187,0.079318,0.069793,0.079531,0.065667,0.111293
2021-01-15,0.069459,0.059284,0.088432,0.065455,0.055180,0.101933,0.114130,0.087461,0.074313,0.151137,0.064745,0.068472
2021-01-22,0.088836,0.095978,0.104480,0.103859,0.089482,0.055946,0.053667,0.059456,0.070748,0.111487,0.110982,0.055079
2021-01-29,0.085495,0.086863,0.058911,0.084235,0.088497,0.063798,0.064051,0.079098,0.081342,0.107259,0.131488,0.068964
2021-02-05,0.110649,0.116375,0.092530,0.101611,0.096839,0.084313,0.072069,0.067782,0.067263,0.060437,0.056919,0.073213
2021-02-12,0.073506,0.076485,0.062829,0.070296,0.069830,0.141638,0.110759,0.111391,0.075523,0.061392,0.070282,0.076068
2021-02-19,0.066564,0.066682,0.071915,0.066226,0.073205,0.144850,0.114695,0.106625,0.069898,0.089407,0.055368,0.074565
2021-02-26,0.077860,0.091636,0.049260,0.065548,0.063181,0.138854,0.114868,0.129703,0.070112,0.062272,0.072392,0.064314
2021-03-05,0.094422,0.062251,0.077617,0.111970,0.099737,0.035565,0.037547,0.036593,0.086156,0.131252,0.127117,0.099773
2021-03-12,0.060926,0.064734,0.062797,0.080989,0.077969,0.090441,0.124491,0.118855,0.082460,0.099107,0.058374,0.078858
2021-03-19,0.060906,0.090474,0.057311,0.059036,0.091624,0.131192,0.121098,0.127616,0.071889,0.063052,0.074823,0.050978
2021-03-26,0.102544,0.084186,0.076264,0.082517,0.071689,0.067764,0.102113,0.081252,0.074491,0.078037,0.054294,0.124850
2021-04-09,0.061849,0.063195,0.063842,0.068509,0.061227,0.132617,0.152333,0.108439,0.080225,0.086943,0.053999,0.066822
2021-04-16,0.062068,0.064141,0.075446,0.068009,0.090777,0.096636,0.105380,0.093472,0.075923,0.106310,0.087633,0.074206
2021-04-23,0.067011,0.072827,0.071957,0.062265,0.068748,0.123396,0.106394,0.134059,0.082695,0.061190,0.079810,0.069648
2021-04-30,0.068092,0.065454,0.061453,0.070744,0.069596,0.116090,0.115318,0.086979,0.078718,0.115381,0.071752,0.080422
2021-05-07,0.090811,0.095353,0.109288,0.100825,0.103564,0.062449,0.063850,0.060768,0.069612,0.081005,0.097934,0.064541
2021-05-14,0.076123,0.075380,0.071309,0.071668,0.075806,0.139792,0.091762,0.092900,0.088670,0.069733,0.071926,0.074932
2021-05-21,0.077043,0.068771,0.070735,0.078643,0.082306,0.077323,0.095563,0.080204,0.098309,0.085354,0.091487,0.094262
2021-05-28,0.086154,0.111247,0.078560,0.078175,0.110417,0.071377,0.080096,0.078908,0.075773,0.081548,0.064953,0.082791
2021-06-04,0.080146,0.078735,0.088741,0.078317,0.073953,0.097229,0.087368,0.080224,0.084917,0.075010,0.099566,0.075793
2021-06-11,0.083467,0.070214,0.101085,0.087008,0.089934,0.065416,0.070008,0.070152,0.096827,0.077464,0.079273,0.109152
2021-06-18,0.074028,0.073717,0.062935,0.072131,0.083177,0.088187,0.096364,0.074222,0.075093,0.126049,0.090572,0.083525
2021-06-25,0.115959,0.103943,0.133049,0.121083,0.081323,0.039390,0.045059,0.049389,0.068714,0.092016,0.051006,0.099069
2021-07-02,0.068812,0.083087,0.073402,0.070474,0.064739,0.137104,0.101543,0.101315,0.071154,0.067974,0.092572,0.067825
2021-07-09,0.075470,0.069463,0.138494,0.083884,0.095758,0.071648,0.068762,0.076774,0.084700,0.075412,0.072453,0.087182
2021-07-16,0.061261,0.068674,0.052922,0.056092,0.059571,0.159383,0.146141,0.128510,0.073084,0.072271,0.058871,0.063219
2021-07-23,0.092874,0.097729,0.102934,0.084631,0.080571,0.078305,0.070855,0.079550,0.072070,0.103332,0.069041,0.068108
2021-07-30,0.062153,0.060379,0.071728,0.067086,0.115393,0.128382,0.102529,0.086853,0.072072,0.094278,0.069404,0.069743
2021-08-06,0.089976,0.095178,0.094603,0.085281,0.091950,0.061522,0.059971,0.070423,0.078409,0.105767,0.095901,0.071020
2021-08-13,0.058152,0.072850,0.053621,0.064984,0.070965,0.123195,0.111150,0.113881,0.062680,0.121261,0.085755,0.061506
2021-08-20,0.085722,0.083224,0.137208,0.075614,0.096929,0.053681,0.058752,0.060597,0.079692,0.060061,0.127722,0.080799
2021-08-27,0.067134,0.064397,0.058007,0.073285,0.082180,0.082874,0.098352,0.080556,0.072882,0.081206,0.164255,0.074873
2021-09-03,0.086594,0.085679,0.064932,0.088022,0.086288,0.084630,0.084857,0.078841,0.096917,0.073113,0.076967,0.093161
2021-09-10,0.076336,0.070749,0.090998,0.067173,0.067388,0.130933,0.106347,0.110261,0.074052,0.057528,0.073850,0.074384
2021-09-17,0.089773,0.091181,0.092766,0.068415,0.065641,0.112103,0.100068,0.089134,0.070569,0.082852,0.048148,0.089349
2021-09-24,0.093688,0.102138,0.063530,0.095791,0.069807,0.089466,0.094741,0.081851,0.068615,0.069430,0.093839,0.077103
2021-10-01,0.066255,0.068430,0.081521,0.091430,0.090081,0.119983,0.102195,0.086656,0.073646,0.072925,0.061773,0.085105
2021-10-08,0.075239,0.087663,0.071939,0.096162,0.106785,0.075172,0.075369,0.068675,0.091462,0.098089,0.071285,0.082159
2021-10-15,0.074459,0.087270,0.090938,0.068796,0.064230,0.109393,0.094851,0.108930,0.082589,0.069545,0.064435,0.084564
2021-10-22,0.059519,0.061853,0.081015,0.059361,0.058272,0.108060,0.128023,0.104785,0.078672,0.130604,0.058048,0.071790
2021-10-29,0.091104,0.126843,0.096142,0.073280,0.089754,0.058846,0.070646,0.067768,0.100437,0.071643,0.074909,0.078629
2021-11-05,0.069587,0.065899,0.074471,0.087503,0.103548,0.066632,0.072418,0.079050,0.085494,0.107540,0.094570,0.093288
2021-11-12,0.093833,0.105705,0.075264,0.098944,0.107690,0.062686,0.068256,0.067700,0.085830,0.070724,0.069411,0.093958
2021-11-19,0.069746,0.066821,0.082852,0.073231,0.078557,0.120254,0.072007,0.097986,0.082203,0.079717,0.092023,0.084603
2021-11-26,0.080087,0.065490,0.102800,0.096803,0.075071,0.052357,0.061096,0.060313,0.076830,0.107051,0.138563,0.083538
2021-12-03,0.108874,0.107555,0.115363,0.107760,0.107227,0.033790,0.033884,0.038774,0.088675,0.064320,0.095231,0.098546
2021-12-10,0.107569,0.136190,0.137945,0.084275,0.105280,0.049359,0.049137,0.048069,0.073203,0.057621,0.072507,0.078845
2021-12-17,0.070034,0.068947,0.101423,0.082342,0.085808,0.115952,0.086425,0.084171,0.079131,0.077758,0.064934,0.083077
2021-12-31,0.113848,0.094386,0.060573,0.110475,0.082164,0.050707,0.062588,0.064426,0.077259,0.082380,0.126564,0.074630
2022-01-07,0.085474,0.102346,0.083425,0.076454,0.084420,0.072559,0.093300,0.092015,0.076310,0.063655,0.097636,0.072405
2022-01-14,0.079136,0.105680,0.099919,0.061690,0.057119,0.110336,0.105084,0.104232,0.077558,0.059279,0.063927,0.076041
2022-01-21,0.066393,0.058405,0.064923,0.067180,0.065733,0.137729,0.133460,0.131925,0.069236,0.076200,0.048903,0.079913
2022-01-28,0.127265,0.136118,0.121794,0.102383,0.095545,0.045042,0.045150,0.046769,0.065740,0.079113,0.065631,0.069450
2022-02-04,0.056271,0.052991,0.062958,0.088307,0.087216,0.109311,0.080542,0.094701,0.084044,0.121314,0.100569,0.061777
2022-02-11,0.060120,0.050821,0.061349,0.062733,0.063224,0.139511,0.137726,0.136649,0.085275,0.064494,0.055464,0.082634
2022-02-18,0.135469,0.138206,0.109257,0.114985,0.104830,0.042620,0.039299,0.045653,0.090310,0.044165,0.047143,0.088063
2022-02-25,0.103183,0.130207,0.107640,0.085856,0.096442,0.051511,0.058417,0.064380,0.069404,0.079080,0.067772,0.086109
2022-03-04,0.055294,0.061364,0.057764,0.056052,0.065938,0.101618,0.110497,0.069861,0.070646,0.117211,0.169463,0.064293
2022-03-11,0.107840,0.134283,0.125190,0.128351,0.113954,0.038164,0.036897,0.066746,0.106945,0.043693,0.035678,0.062258
2022-03-18,0.103967,0.127324,0.105509,0.087406,0.099049,0.054103,0.065428,0.064751,0.094568,0.084325,0.041953,0.071616
2022-03-25,0.070959,0.058832,0.074901,0.074992,0.073033,0.061111,0.075134,0.087997,0.082672,0.154531,0.086184,0.099653
2022-04-01,0.056357,0.069274,0.062321,0.061606,0.075381,0.132185,0.134632,0.126501,0.098032,0.076521,0.053554,0.053636
2022-04-08,0.076235,0.100374,0.062938,0.064759,0.060980,0.071460,0.169316,0.065381,0.082919,0.115334,0.068719,0.061584
2022-04-22,0.069762,0.115916,0.083856,0.059726,0.058935,0.121301,0.118737,0.123612,0.090816,0.052611,0.045728,0.058999
2022-04-29,0.109528,0.112929,0.105226,0.084659,0.062999,0.080877,0.053166,0.060823,0.075315,0.078007,0.102059,0.074412
2022-05-06,0.102183,0.101087,0.097275,0.066768,0.046613,0.095398,0.089392,0.102737,0.088172,0.050541,0.065822,0.094013
2022-05-13,0.071422,0.096243,0.093887,0.073981,0.074588,0.114958,0.108208,0.111528,0.077653,0.053182,0.055230,0.069120
2022-05-20,0.043664,0.039501,0.042482,0.044075,0.047909,0.163663,0.160206,0.151725,0.077746,0.125353,0.052343,0.051332
2022-05-27,0.093008,0.122902,0.107153,0.071824,0.078895,0.055333,0.058589,0.062078,0.095977,0.088231,0.088473,0.077536
2022-06-03,0.061611,0.056626,0.063378,0.081158,0.088724,0.112586,0.108622,0.077549,0.074007,0.122433,0.080192,0.073112
2022-06-10,0.105673,0.123357,0.078221,0.088162,0.081745,0.067908,0.077991,0.081978,0.089139,0.086509,0.045596,0.073721
2022-06-17,0.101403,0.103815,0.096510,0.089489,0.058414,0.070273,0.104427,0.100158,0.097910,0.035746,0.070154,0.071701
2022-06-24,0.077163,0.056314,0.066421,0.094525,0.072658,0.071407,0.085261,0.071529,0.068719,0.119272,0.147007,0.069725
2022-07-01,0.045708,0.044775,0.048676,0.048865,0.057350,0.186474,0.174709,0.094180,0.062585,0.106106,0.068296,0.062276
2022-07-08,0.073714,0.089490,0.075615,0.102523,0.134905,0.065162,0.052206,0.053235,0.065128,0.120154,0.093581,0.074287
2022-07-15,0.076444,0.072853,0.072680,0.066447,0.068376,0.142615,0.147807,0.093287,0.066968,0.069012,0.045073,0.078436
2022-07-22,0.067010,0.067976,0.069940,0.075012,0.105379,0.091881,0.085327,0.067624,0.066279,0.142454,0.077116,0.084000
2022-07-29,0.117264,0.145006,0.127775,0.077423,0.092465,0.037121,0.035029,0.040421,0.080071,0.061604,0.126133,0.059688
2022-08-05,0.059543,0.055441,0.077235,0.062957,0.107042,0.132070,0.101643,0.079430,0.079177,0.083354,0.080293,0.081815
