Date,static,mgarch
2009-01-09,-0.005590177917335576,-0.003405765418215638
2009-01-16,-0.012776862245696963,-0.013986208026460402
2009-01-23,-0.018619375600506152,-0.021711545818239485
2009-01-30,-0.004527222056393108,-0.0027180864729406673
2009-02-06,0.013757793028501903,0.017761283101708627
2009-02-13,-0.0023719589318307935,-0.004556293729907091
2009-02-20,-0.017644971338332528,-0.023917715998615204
2009-02-27,-0.026292952969264205,-0.027808214036813463
2009-03-06,-0.007894345912219231,-0.01086897838538751
2009-03-13,0.033249397489506526,0.03888411499925541
2009-03-20,0.020884816068327657,0.020373801327056986
2009-03-27,0.012002026887349857,0.01629748848975051
2009-04-03,0.0102191799495074,0.01307392216387308
2009-04-10,0.006305887910018098,0.008468556758644224
2009-04-17,0.005339750611234366,0.006427222197651441
2009-04-24,-0.0009036012844058377,0.0013065789468088137
2009-05-01,0.00025277322343680885,-0.009056221648102554
2009-05-08,0.0063665877980751285,0.007518105976577804
2009-05-15,-0.00224154604982923,-0.004272262188866617
2009-05-22,-0.004326710780445703,0.003028191718305717
2009-05-29,0.010941315414147374,0.01647944773766798
2009-06-05,-0.012455683149611785,-0.006099257641983026
2009-06-12,0.003720384223914322,0.0016385431015351463
2009-06-19,-0.011045598892207313,-0.014496682007353793
2009-06-26,0.015671787706241946,0.01122321353201324
2009-07-03,-0.0034418491684667808,-0.008524628439686502
2009-07-10,0.0012300626171469137,-0.013494628284994193
2009-07-17,0.008479308620617673,0.037045827027534055
2009-07-24,0.016458289768511724,0.027355482988237957
2009-07-31,0.012657187761180227,0.016669797965638257
2009-08-07,-0.011285160023436488,-0.0043969168120041235
2009-08-14,0.006827810012374362,0.0026871325608350213
2009-08-21,0.004743337698929856,0.010459782441506327
2009-08-28,0.005636878026033813,0.006795976483673246
2009-09-04,0.0037744379542659244,-1.229514982826285e-06
2009-09-11,0.01676810486392145,0.01644863716747449
2009-09-18,0.002410891553179769,0.00174763224139799
2009-09-25,7.676756562512182e-05,0.0006627671431132197
2009-10-02,0.0007874922658040366,0.0012927989230050443
2009-10-09,0.010383726230475473,0.009594385735638268
2009-10-16,0.00373664118271443,0.005377350221843382
2009-10-23,-0.0015533744629551666,-0.0018707465814672408
2009-10-30,-0.01490048835871348,-0.015010929499548173
2009-11-06,0.013210408751033598,0.01696240804492084
2009-11-13,0.014013762214289486,0.015232525538075338
2009-11-20,0.0025532768288168734,0.001573529150062909
2009-11-27,0.005970268880582107,0.004846563924986827
2009-12-04,-0.0024841473088084284,-0.00011806206473554965
2009-12-11,-0.006079412248050304,-0.008415843505867956
2009-12-18,-0.00013205207578898087,0.000158429240661134
2009-12-25,-0.0012629407871918947,-0.006623348473874463
2010-01-01,-0.0030321074028652572,-0.004362210489145059
2010-01-08,0.01391875301660594,0.00511166654995721
2010-01-15,0.00010808161186362587,0.006318450034018169
2010-01-22,-0.013353053321461202,-0.015018153838148682
2010-01-29,-0.00914294811156472,-0.011510838807458254
2010-02-05,-0.0010573268472367598,-0.005792436210962071
2010-02-12,0.0017163872904638955,0.004076266261334477
2010-02-19,0.006917543054509354,0.018576191098615066
2010-02-26,0.006502910718741189,0.0024598247041402893
2010-03-05,0.011916750471542819,0.01938858529854421
2010-03-12,0.0023529119948988877,0.0009220164074194648
2010-03-19,0.0013961194468468116,0.002388459634352019
2010-03-26,-0.003642829405075179,-0.0002951979620117031
2010-04-02,0.00566353930723,0.0062404901833165265
2010-04-09,0.007247842374119669,0.011886188994871854
2010-04-16,0.002400293971760882,-0.0009235742781277148
2010-04-23,0.004894662591611278,0.010741283025582691
2010-04-30,0.0023925679831404427,0.00297497688623081
2010-05-07,-0.01602528053674227,-0.01678822902758307
2010-05-14,0.011829519312728024,0.019610740028901792
2010-05-21,-0.008186417892652877,-0.01046158173139776
2010-05-28,0.004807182527320648,0.01290756708199436
2010-06-04,-0.0006537330438813991,0.001281355650179326
2010-06-11,0.006975966717584129,0.009869325917377578
2010-06-18,0.012129486494545044,0.011713096815576115
2010-06-25,-0.0014545426474210843,-0.003409377846501482
2010-07-02,-0.012076188559804364,-0.01642509342448483
2010-07-09,0.011683872845368284,0.019289367096641336
2010-07-16,0.002590454700265484,-0.0004956131252200331
2010-07-23,0.011649391418781066,0.014758776616766086
2010-07-30,0.005086208403301936,0.006573596155890259
2010-08-06,0.01104716753585052,0.012189825083539938
2010-08-13,-0.0030085207169520305,-0.0073820251118926145
2010-08-20,0.004266272365529801,0.004143925262334809
2010-08-27,-0.004553232151838752,-0.0028925432472892603
2010-09-03,0.008876460959136905,0.00821198229535395
2010-09-10,-0.0014507609894332746,-0.0004027958782484948
2010-09-17,0.011242815590103221,0.014546926170154318
2010-09-24,0.01366151583530788,0.01637651597473105
2010-10-01,0.006385598638135843,0.010631189357513117
2010-10-08,0.012877872449773951,0.018596688730947546
2010-10-15,-0.001957976282290901,-0.007830358929005103
2010-10-22,0.0004457889762484981,0.0027291628223121665
2010-10-29,0.0008454271531973527,0.004077350156186901
2010-11-05,0.016403952358250783,0.017995138005579083
2010-11-12,-0.019258376723116862,-0.018409152589488297
2010-11-19,-0.006584695471418801,-0.0071380126061455626
2010-11-26,-0.0016805869232736773,0.0023414268948523317
2010-12-03,0.0031342779145719737,0.012449485891329978
2010-12-10,-0.015386703838531843,-0.019851041100696996
2010-12-17,0.0014841812038198113,0.002439218906643868
2010-12-24,0.0009328324496072669,0.003581377285693519
2010-12-31,0.00788797762102833,0.01361959937683772
2011-01-07,0.0004324395417352312,-0.010560047444639863
2011-01-14,0.005338946695252154,0.0019250788300255312
