,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC,VNQ
2019-11-01,0.088002,0.110963,0.089520,0.076205,0.085900,0.074363,0.073774,0.072646,0.077563,0.080690,0.099406,0.070969
2019-11-08,0.089653,0.093217,0.113211,0.079426,0.088060,0.060948,0.060358,0.065605,0.077907,0.063389,0.146721,0.061505
2019-11-15,0.088999,0.100720,0.089218,0.079191,0.075424,0.079371,0.078595,0.077980,0.083686,0.077134,0.091434,0.078249
2019-11-22,0.097013,0.102446,0.086126,0.085498,0.084734,0.073627,0.072075,0.073732,0.084129,0.070268,0.091428,0.078923
2019-11-29,0.085028,0.085967,0.086876,0.082257,0.077305,0.083849,0.078696,0.094931,0.095660,0.075622,0.078797,0.075012
2019-12-06,0.079809,0.083986,0.079652,0.076343,0.078718,0.081134,0.080808,0.078699,0.077883,0.104516,0.100114,0.078338
2019-12-13,0.101105,0.112282,0.103827,0.091076,0.077024,0.069862,0.070118,0.068806,0.073468,0.069178,0.091617,0.071637
2019-12-20,0.065696,0.074023,0.062242,0.075420,0.062613,0.127664,0.133460,0.118392,0.065873,0.073577,0.077442,0.063598
2019-12-27,0.091010,0.093191,0.082910,0.079216,0.081003,0.088077,0.082700,0.079176,0.076139,0.082181,0.078299,0.086100
2020-01-03,0.079830,0.081819,0.076880,0.081615,0.084729,0.087246,0.094034,0.087457,0.078409,0.079854,0.085171,0.082957
2020-01-10,0.057433,0.060213,0.057840,0.057536,0.058700,0.153617,0.142723,0.078699,0.057683,0.108991,0.101342,0.065225
2020-01-17,0.070717,0.073129,0.071380,0.069217,0.079765,0.127820,0.093802,0.091045,0.073937,0.091468,0.074551,0.083169
2020-01-24,0.085930,0.094346,0.077101,0.083316,0.086678,0.084705,0.078938,0.079357,0.076913,0.083957,0.089275,0.079485
2020-01-31,0.072305,0.074108,0.073580,0.069739,0.069492,0.124333,0.116718,0.083939,0.070751,0.093072,0.080279,0.071683
2020-02-07,0.079548,0.078801,0.077450,0.070925,0.069411,0.122471,0.133049,0.085004,0.065466,0.086169,0.066493,0.065213
2020-02-14,0.066653,0.068515,0.069257,0.065998,0.066614,0.154471,0.130608,0.098282,0.067199,0.076041,0.066882,0.069481
2020-02-21,0.078557,0.083153,0.073344,0.072757,0.075458,0.097197,0.099892,0.090302,0.075106,0.086860,0.076437,0.090939
2020-02-28,0.067596,0.083983,0.066513,0.064039,0.064401,0.121530,0.112715,0.077976,0.066373,0.138494,0.065608,0.070773
2020-03-06,0.047583,0.052703,0.053060,0.046002,0.046865,0.166531,0.174984,0.153640,0.061246,0.090873,0.056074,0.050440
2020-03-13,0.064404,0.069557,0.061961,0.055474,0.055905,0.137897,0.176005,0.111638,0.063455,0.056358,0.093588,0.053756
2020-03-20,0.050649,0.050821,0.084540,0.093332,0.087873,0.313673,0.027508,0.054155,0.084276,0.033383,0.034905,0.084884
2020-03-27,0.198838,0.244731,0.200641,0.032006,0.004483,0.007682,0.007167,0.004576,0.099739,0.006027,0.006640,0.187471
2020-04-03,0.211629,0.236703,0.204695,0.123658,0.054269,0.004148,0.006044,0.141794,0.004589,0.003768,0.004200,0.004504
