Model,AnnRet,Vol,Sharpe,Sortino,MaxDD,Calmar,AvgCost_bps,Turnover,EffN
lstm,0.1218143999576568,0.1341372728347778,0.095367856323719,0.0242040064185857,-0.2134385108947754,0.5707235932350159,0.0,0.471518725156784,10.106841087341309
lstm,0.1190227419137954,0.1324658095836639,0.0936486944556236,0.0235494319349527,-0.2180848717689514,0.5457634329795837,0.0,0.3878104984760284,10.67244815826416
transformer,0.1352451890707016,0.133997157216072,0.109367236495018,0.0260257553309202,-0.2056581377983093,0.6576213836669922,0.0,0.3141364157199859,11.04648494720459
lstm,0.1143301501870155,0.1317170262336731,0.089240588247776,0.0223149191588163,-0.2204892635345459,0.5185293555259705,0.0,0.4721978008747101,10.270756721496582
transformer,0.1323480606079101,0.1335939913988113,0.1066899672150611,0.0252882894128561,-0.2079399824142456,0.6364724040031433,0.0,0.2965258359909057,11.159184455871582
lstm,0.1124113798141479,0.1376070380210876,0.0834871456027031,0.0212045703083276,-0.2126196026802063,0.52869713306427,0.0,0.6125772595405579,8.889239311218262
transformer,0.1355818063020706,0.134091705083847,0.1096382290124893,0.0260929986834526,-0.205724835395813,0.6590444445610046,0.0,0.3176216781139374,11.027472496032717
transformer,0.12916722893714905,0.1351824253797531,0.1021733209490776,0.02681555040180683,-0.2510891556739807,0.5144277215003967,1.8937804698944092,0.3787561058998108,10.07595157623291
