,weekly_r_gross,weekly_r_net,costs
2021-07-02,0.00862364,0.00862364,0.00000000
2021-07-09,0.00008043,0.00008043,0.00000000
2021-07-16,-0.00242378,-0.00242378,0.00000000
2021-07-23,0.00761529,0.00761529,0.00000000
2021-07-30,0.00155859,0.00155859,0.00000000
2021-08-06,-0.00269206,-0.00269206,0.00000000
2021-08-13,0.00339914,0.00339914,0.00000000
2021-08-20,-0.01729937,-0.01729937,0.00000000
2021-08-27,0.02370877,0.02370877,0.00000000
2021-09-03,0.01020180,0.01020180,0.00000000
2021-09-10,-0.01039882,-0.01039882,0.00000000
2021-09-17,-0.00359166,-0.00359166,0.00000000
2021-09-24,-0.00144380,-0.00144380,0.00000000
2021-10-01,-0.00832163,-0.00832163,0.00000000
2021-10-08,-0.00138076,-0.00138076,0.00000000
2021-10-15,0.01748127,0.01748127,0.00000000
2021-10-22,0.00424265,0.00424265,0.00000000
2021-10-29,0.00482708,0.00482708,0.00000000
2021-11-05,0.01493614,0.01493614,0.00000000
2021-11-12,-0.00115594,-0.00115594,0.00000000
2021-11-19,-0.00541201,-0.00541201,0.00000000
2021-11-26,-0.02548598,-0.02548598,0.00000000
2021-12-03,-0.00762567,-0.00762567,0.00000000
2021-12-10,0.02054757,0.02054757,0.00000000
2021-12-17,-0.00585463,-0.00585463,0.00000000
2021-12-31,0.02224618,0.02224618,0.00000000
2022-01-07,-0.01828335,-0.01828335,0.00000000
2022-01-14,0.00131162,0.00131162,0.00000000
2022-01-21,-0.01801678,-0.01801678,0.00000000
2022-01-28,-0.00772391,-0.00772391,0.00000000
2022-02-04,0.00444177,0.00444177,0.00000000
2022-02-11,-0.00336341,-0.00336341,0.00000000
2022-02-18,-0.00602205,-0.00602205,0.00000000
2022-02-25,0.00278322,0.00278322,0.00000000
2022-03-04,0.02414773,0.02414773,0.00000000
2022-03-11,-0.02348140,-0.02348140,0.00000000
2022-03-18,0.03572889,0.03572889,0.00000000
2022-03-25,0.00266219,0.00266219,0.00000000
2022-04-01,0.01018764,0.01018764,0.00000000
2022-04-08,-0.01943282,-0.01943282,0.00000000
2022-04-22,-0.03006189,-0.03006189,0.00000000
2022-04-29,-0.01968681,-0.01968681,0.00000000
2022-05-06,-0.01583777,-0.01583777,0.00000000
2022-05-13,-0.00804191,-0.00804191,0.00000000
2022-05-20,0.00518258,0.00518258,0.00000000
2022-05-27,0.04144928,0.04144928,0.00000000
2022-06-03,-0.00768971,-0.00768971,0.00000000
2022-06-10,-0.03270402,-0.03270402,0.00000000
2022-06-17,-0.03743505,-0.03743505,0.00000000
2022-06-24,0.02015755,0.02015755,0.00000000
2022-07-01,0.00059775,0.00059775,0.00000000
2022-07-08,-0.00178989,-0.00178989,0.00000000
2022-07-15,-0.00122086,-0.00122086,0.00000000
2022-07-22,0.02014118,0.02014118,0.00000000
2022-07-29,0.03307200,0.03307200,0.00000000
