Model,FeatureSet,AnnRet,Vol,Sharpe,MaxDD
Lstm,volcredit,0.11253309506024094,0.13578876076252971,0.8287364464356606,-0.2092606538639924
Transformer,volcredit,0.13348791409638555,0.13377199281276525,0.997876396169284,-0.1989515365010115
Lstm,mgarch,0.11253309506024094,0.13578876076252971,0.8287364464356606,-0.2092606538639924
Transformer,mgarch,0.13348791409638555,0.13377199281276525,0.997876396169284,-0.1989515365010115
