,weekly_r_gross,weekly_r_net,costs
2021-07-02,0.01020956,0.01020956,0.00000000
2021-07-09,-0.00031731,-0.00031731,0.00000000
2021-07-16,-0.00794925,-0.00794925,0.00000000
2021-07-23,0.00812572,0.00812572,0.00000000
2021-07-30,0.00204958,0.00204958,0.00000000
2021-08-06,-0.00103806,-0.00103806,0.00000000
2021-08-13,0.00335035,0.00335035,0.00000000
2021-08-20,-0.01321556,-0.01321556,0.00000000
2021-08-27,0.02974630,0.02974630,0.00000000
2021-09-03,0.00534096,0.00534096,0.00000000
2021-09-10,-0.01105257,-0.01105257,0.00000000
2021-09-17,-0.00360752,-0.00360752,0.00000000
2021-09-24,-0.00306951,-0.00306951,0.00000000
2021-10-01,-0.00659890,-0.00659890,0.00000000
2021-10-08,-0.00148095,-0.00148095,0.00000000
2021-10-15,0.01855041,0.01855041,0.00000000
2021-10-22,0.00539382,0.00539382,0.00000000
2021-10-29,0.00650300,0.00650300,0.00000000
2021-11-05,0.01729530,0.01729530,0.00000000
2021-11-12,-0.00188251,-0.00188251,0.00000000
2021-11-19,-0.00298813,-0.00298813,0.00000000
2021-11-26,-0.02875702,-0.02875702,0.00000000
2021-12-03,-0.00700619,-0.00700619,0.00000000
2021-12-10,0.02058994,0.02058994,0.00000000
2021-12-17,0.00862477,0.00862477,0.00000000
2021-12-31,0.02646972,0.02646972,0.00000000
2022-01-07,-0.01882440,-0.01882440,0.00000000
2022-01-14,0.00036976,0.00036976,0.00000000
2022-01-21,-0.02414866,-0.02414866,0.00000000
2022-01-28,-0.00781932,-0.00781932,0.00000000
2022-02-04,0.00593158,0.00593158,0.00000000
2022-02-11,-0.00344045,-0.00344045,0.00000000
2022-02-18,-0.00947585,-0.00947585,0.00000000
2022-02-25,0.00352390,0.00352390,0.00000000
2022-03-04,0.01209765,0.01209765,0.00000000
2022-03-11,-0.02307205,-0.02307205,0.00000000
2022-03-18,-0.00841090,-0.00841090,0.00000000
2022-03-25,0.03082613,0.03082613,0.00000000
2022-04-01,0.01005928,0.01005928,0.00000000
2022-04-08,-0.02657934,-0.02657934,0.00000000
2022-04-22,-0.03113380,-0.03113380,0.00000000
2022-04-29,-0.00382717,-0.00382717,0.00000000
2022-05-06,-0.01509163,-0.01509163,0.00000000
