,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC,VNQ
2019-11-01,0.118041,0.101851,0.149752,0.138518,0.100514,0.026888,0.026291,0.047336,0.092168,0.046231,0.067108,0.085301
2019-11-08,0.079630,0.069739,0.103202,0.084284,0.085614,0.042809,0.050190,0.078304,0.107847,0.080626,0.115421,0.102332
2019-11-15,0.046772,0.056621,0.044861,0.043336,0.045146,0.221368,0.178109,0.091684,0.040741,0.125987,0.051781,0.053595
2019-11-22,0.104324,0.120374,0.110007,0.113590,0.136723,0.033877,0.037562,0.048326,0.092958,0.051255,0.096330,0.054673
2019-11-29,0.104815,0.105918,0.085151,0.085929,0.066516,0.063623,0.074242,0.084528,0.091938,0.072965,0.051656,0.112719
2019-12-06,0.052074,0.045337,0.042664,0.050815,0.055752,0.199812,0.178520,0.102345,0.048915,0.075455,0.077326,0.070985
2019-12-13,0.067057,0.072808,0.086411,0.062790,0.062424,0.166026,0.106635,0.109272,0.073344,0.074790,0.050590,0.067853
2019-12-20,0.075821,0.071387,0.099679,0.077251,0.065891,0.054673,0.067145,0.073285,0.097102,0.100725,0.082019,0.135022
2019-12-27,0.084099,0.082373,0.071970,0.109643,0.111502,0.065078,0.066776,0.076555,0.098071,0.075244,0.112134,0.046556
2020-01-03,0.097772,0.112096,0.097712,0.094245,0.134095,0.046281,0.045974,0.063112,0.097014,0.052232,0.101450,0.058017
2020-01-10,0.100632,0.107852,0.107606,0.076168,0.083963,0.050096,0.051878,0.078684,0.072266,0.073069,0.090206,0.107581
2020-01-17,0.056824,0.054494,0.058430,0.063569,0.048950,0.095478,0.124071,0.071873,0.063406,0.178396,0.100325,0.084185
2020-01-24,0.070061,0.086498,0.054943,0.072323,0.080881,0.113046,0.110788,0.069578,0.093891,0.123574,0.064951,0.059465
2020-01-31,0.110081,0.109826,0.125292,0.087207,0.122552,0.044942,0.041506,0.061848,0.091338,0.035918,0.092727,0.076763
2020-02-07,0.098651,0.091897,0.106097,0.083956,0.076991,0.083716,0.062934,0.097575,0.057272,0.058748,0.064287,0.117878
2020-02-14,0.026441,0.027963,0.028710,0.031601,0.026186,0.276157,0.292096,0.093536,0.043052,0.088345,0.020874,0.045039
2020-02-21,0.111982,0.156904,0.089801,0.108575,0.098531,0.044623,0.054422,0.065327,0.107199,0.053706,0.053058,0.055872
2020-02-28,0.141773,0.223846,0.094955,0.092056,0.125315,0.016908,0.018109,0.035559,0.071339,0.024554,0.080681,0.074903
2020-03-06,0.144415,0.123403,0.130108,0.038351,0.024157,0.017047,0.011559,0.024724,0.031202,0.140257,0.204332,0.110446
2020-03-13,0.024791,0.022078,0.037363,0.044523,0.065871,0.135311,0.347141,0.084859,0.083777,0.055866,0.055477,0.042944
2020-03-20,0.002475,0.002343,0.005662,0.007673,0.004862,0.318603,0.518082,0.106171,0.006588,0.020772,0.002731,0.004038
2020-03-27,0.028297,0.016752,0.009633,0.010924,0.015223,0.013810,0.009552,0.702421,0.116859,0.021588,0.013489,0.041452
2020-04-03,0.074937,0.122051,0.078087,0.083757,0.095223,0.114527,0.086894,0.062885,0.042357,0.098845,0.085100,0.055337
2020-04-17,0.067789,0.081685,0.223981,0.183473,0.018773,0.095138,0.016712,0.190097,0.042971,0.041016,0.007330,0.031034
2020-04-24,0.126761,0.052552,0.063524,0.022910,0.056321,0.008192,0.010952,0.078112,0.182648,0.071466,0.144794,0.181769
2020-05-01,0.050245,0.158183,0.037608,0.016560,0.031440,0.009969,0.016091,0.102845,0.437206,0.026379,0.057815,0.055658
2020-05-08,0.051144,0.057736,0.090521,0.088079,0.100254,0.248572,0.138022,0.035906,0.014075,0.118433,0.016059,0.041199
2020-05-15,0.072026,0.041607,0.191909,0.115682,0.084487,0.095138,0.080745,0.076151,0.038047,0.068241,0.050379,0.085587
2020-05-22,0.078494,0.127623,0.085161,0.072568,0.059837,0.015698,0.035707,0.014870,0.105246,0.030601,0.286296,0.087899
2020-05-29,0.063791,0.091340,0.026546,0.066566,0.121425,0.095182,0.097340,0.097833,0.053210,0.172202,0.078019,0.036545
2020-06-05,0.055569,0.051722,0.098441,0.040926,0.049052,0.067777,0.043771,0.343345,0.072329,0.070045,0.064411,0.042612
2020-06-12,0.060381,0.041808,0.144407,0.080847,0.029107,0.114201,0.127990,0.096945,0.091375,0.055442,0.027398,0.130100
2020-06-19,0.142586,0.048240,0.139202,0.233044,0.103547,0.003060,0.004870,0.010929,0.108290,0.008196,0.067233,0.130802
2020-06-26,0.056315,0.086580,0.038692,0.048289,0.087756,0.168435,0.114797,0.081039,0.048712,0.125342,0.079381,0.064662
2020-07-10,0.073164,0.136780,0.065703,0.038845,0.041256,0.089116,0.100487,0.147168,0.075321,0.088853,0.093853,0.049453
2020-07-17,0.090367,0.063437,0.130359,0.086966,0.079322,0.043211,0.061456,0.087164,0.065855,0.072343,0.086561,0.132958
2020-07-24,0.074181,0.260283,0.022870,0.047509,0.183529,0.065024,0.045940,0.058387,0.055974,0.054699,0.087390,0.044215
2020-07-31,0.120164,0.113177,0.136732,0.117320,0.054839,0.061244,0.071724,0.088830,0.099525,0.032061,0.049128,0.055257
2020-08-07,0.051910,0.023480,0.105383,0.116566,0.053704,0.072319,0.062926,0.087924,0.091645,0.177778,0.097221,0.059145
2020-08-14,0.043617,0.058770,0.030683,0.042853,0.068037,0.113363,0.095877,0.050301,0.070091,0.260425,0.065183,0.100800
2020-08-21,0.073830,0.127463,0.087601,0.033064,0.049291,0.112850,0.071830,0.155056,0.058039,0.128160,0.052498,0.050318
2020-08-28,0.109235,0.049105,0.223087,0.190029,0.093505,0.019654,0.034314,0.030692,0.050123,0.025035,0.100821,0.074400
2020-09-04,0.052469,0.074372,0.044720,0.080424,0.069423,0.172418,0.125649,0.087790,0.095349,0.045234,0.091838,0.060314
2020-09-11,0.117108,0.371100,0.042537,0.039417,0.059135,0.030495,0.037038,0.042344,0.067452,0.065095,0.081820,0.046459
2020-09-18,0.126556,0.298717,0.071599,0.038078,0.049090,0.052115,0.048902,0.080855,0.051989,0.054887,0.050972,0.076240
2020-09-25,0.051168,0.028843,0.059311,0.093832,0.073613,0.150351,0.133394,0.094289,0.081420,0.101688,0.022385,0.109708
2020-10-02,0.042006,0.023080,0.100000,0.095826,0.107501,0.044809,0.049813,0.105652,0.078264,0.116312,0.177179,0.059556
2020-10-09,0.074027,0.116291,0.040778,0.056852,0.055968,0.170530,0.136395,0.061996,0.054385,0.037526,0.155163,0.040090
2020-10-16,0.096928,0.158803,0.085110,0.063511,0.064169,0.065887,0.078974,0.063409,0.090321,0.069224,0.030470,0.133193
2020-10-23,0.096914,0.068307,0.300428,0.078386,0.080107,0.014982,0.019720,0.041124,0.091818,0.056523,0.056152,0.095539
2020-10-30,0.068070,0.112859,0.046079,0.053024,0.054918,0.170833,0.112824,0.125144,0.049053,0.062754,0.108889,0.035552
2020-11-06,0.079823,0.069147,0.052743,0.098099,0.084972,0.073403,0.083616,0.077215,0.062625,0.102470,0.154036,0.061850
2020-11-13,0.040775,0.035368,0.055577,0.048582,0.079530,0.149737,0.148559,0.080875,0.099172,0.079866,0.054500,0.127459
2020-11-20,0.135789,0.157231,0.098700,0.112278,0.071543,0.032055,0.032590,0.069485,0.117325,0.059106,0.061972,0.051928
2020-11-27,0.215468,0.069396,0.240283,0.237768,0.031035,0.007600,0.011220,0.013067,0.026219,0.015424,0.064414,0.068106
2020-12-04,0.041454,0.033547,0.076831,0.056917,0.065394,0.163575,0.101724,0.119910,0.057822,0.138872,0.045292,0.098662
2020-12-11,0.032528,0.054424,0.035543,0.027950,0.057381,0.241421,0.149272,0.170804,0.064077,0.025799,0.100232,0.040569
2020-12-18,0.108159,0.232487,0.055921,0.066267,0.080808,0.020965,0.035900,0.048289,0.096183,0.127068,0.054375,0.073578
2021-01-08,0.069563,0.051464,0.113679,0.079995,0.082356,0.119608,0.107911,0.056573,0.084937,0.094968,0.058595,0.080350
2021-01-15,0.040316,0.041965,0.016365,0.044531,0.044369,0.188143,0.140620,0.148478,0.069586,0.180562,0.027733,0.057333
2021-01-22,0.112627,0.081682,0.113983,0.122537,0.152800,0.024445,0.030174,0.023377,0.059408,0.101025,0.141163,0.036780
2021-01-29,0.060456,0.036375,0.238063,0.067185,0.082050,0.033682,0.032188,0.048966,0.055367,0.020038,0.271145,0.054486
2021-02-05,0.092493,0.207893,0.097194,0.061151,0.081829,0.083043,0.077410,0.073005,0.052306,0.048037,0.029307,0.096333
2021-02-12,0.029949,0.040904,0.015768,0.036492,0.033076,0.265991,0.185922,0.094544,0.056766,0.146248,0.029070,0.065270
2021-02-19,0.100231,0.076311,0.140295,0.067421,0.066419,0.038989,0.042199,0.062721,0.089541,0.053556,0.194239,0.068078
2021-02-26,0.090697,0.082423,0.311897,0.070115,0.076768,0.032950,0.035160,0.046144,0.046185,0.044516,0.118468,0.044676
2021-03-05,0.087470,0.109421,0.053307,0.129522,0.134255,0.031960,0.058754,0.050933,0.079797,0.093199,0.097421,0.073962
2021-03-12,0.065371,0.063775,0.062036,0.067748,0.050566,0.089881,0.110400,0.118687,0.083836,0.121490,0.050252,0.115959
2021-03-19,0.063902,0.040242,0.042212,0.070215,0.065475,0.203820,0.112753,0.102842,0.110012,0.048297,0.082102,0.058128
2021-03-26,0.109069,0.114979,0.242369,0.053611,0.046374,0.047021,0.049637,0.031762,0.039928,0.041061,0.147716,0.076473
2021-04-09,0.075150,0.165280,0.123920,0.084518,0.092341,0.033611,0.044936,0.054016,0.050800,0.155901,0.032971,0.086554
2021-04-16,0.080681,0.059462,0.070235,0.072421,0.097142,0.097810,0.060173,0.112385,0.122251,0.041985,0.094823,0.090633
2021-04-23,0.119410,0.244421,0.089054,0.066202,0.062911,0.051219,0.054844,0.081524,0.063692,0.061510,0.044335,0.060878
2021-04-30,0.081620,0.107838,0.045854,0.078336,0.056744,0.084554,0.109380,0.058886,0.056487,0.106547,0.144201,0.069555
2021-05-07,0.053205,0.040273,0.077865,0.078531,0.084983,0.119139,0.110704,0.078538,0.066383,0.118255,0.086916,0.085209
2021-05-14,0.082514,0.081914,0.158827,0.061130,0.089724,0.061231,0.052863,0.071989,0.107155,0.042774,0.076462,0.113418
2021-05-21,0.069860,0.045185,0.040152,0.075672,0.065042,0.085405,0.077869,0.084274,0.069607,0.090863,0.239171,0.056900
2021-05-28,0.068256,0.049122,0.058039,0.081455,0.068764,0.049711,0.082714,0.061069,0.082781,0.160666,0.165372,0.072051
2021-06-04,0.078775,0.121716,0.071170,0.084614,0.076380,0.095187,0.086374,0.091528,0.077326,0.103050,0.024637,0.089243
2021-06-11,0.080360,0.156526,0.099000,0.067056,0.078895,0.101087,0.069903,0.091241,0.062655,0.081728,0.043049,0.068500
2021-06-18,0.066786,0.044383,0.101329,0.073465,0.107058,0.044283,0.045695,0.042021,0.069511,0.063270,0.250959,0.091239
2021-06-25,0.072214,0.052144,0.100018,0.087129,0.046698,0.035827,0.080791,0.059373,0.057582,0.154905,0.161191,0.092127
2021-07-02,0.062723,0.106674,0.039941,0.062823,0.051318,0.219214,0.104543,0.144184,0.082101,0.035160,0.025950,0.065369
2021-07-09,0.088168,0.107645,0.113178,0.079611,0.128383,0.068916,0.061882,0.071804,0.091249,0.052810,0.057675,0.078679
2021-07-16,0.095363,0.093073,0.105447,0.059760,0.112337,0.051459,0.057459,0.063541,0.082442,0.069991,0.155931,0.053196
2021-07-23,0.096018,0.104236,0.071058,0.078369,0.034091,0.093901,0.109431,0.087794,0.068268,0.117990,0.059657,0.079188
2021-07-30,0.047988,0.043969,0.037419,0.061645,0.093334,0.152558,0.140307,0.086174,0.063801,0.132780,0.036074,0.103951
2021-08-06,0.092135,0.107288,0.088170,0.072246,0.073930,0.094506,0.089483,0.101291,0.086138,0.047010,0.066112,0.081691
2021-08-13,0.064883,0.062254,0.069565,0.071771,0.039811,0.077084,0.087578,0.104161,0.061747,0.098215,0.213758,0.049173
