,mu_ann
DBC,0.10055009542887615
EEM,0.1486696973738904
EFA,0.07054278765960856
GLD,0.03880742883356698
HYG,0.03280193207316321
IEF,0.030185434698296355
IWM,0.03261195179218798
LQD,0.0408734148189067
QQQ,0.04815194166409051
SPY,0.08307788076625394
TLT,0.0012842349381936575
VNQ,0.04820919183501893
