pad,model,seq_acc
10,RNN,0.064697265625
10,LSTM,1.0
50,RNN,0.001708984375
50,LSTM,0.003173828125
100,RNN,0.001220703125
100,LSTM,0.001953125
200,RNN,0.0009765625
200,LSTM,0.002197265625
400,RNN,0.00244140625
400,LSTM,0.001953125
