Exp Date,ImpF...,30.00%,40.00%,60.00%,80.00%,90.00%,95.00%,97.50%,100.00%,102.50%,105.00%,110.00%,120.00%,150.00%,200.00%,300.00%
15-May-26,24104.8,40.57,40.09,35.77,27.64,23.57,21.76,20.9,20.05,19.22,18.4,16.98,15.86,16.03,17.85,21.88
18-Jun-26,24176,41.97,41,35.3,27.31,23.53,21.8,20.99,20.2,19.43,18.69,17.35,15.97,15.57,16.14,20.11
17-Jul-26,24245.4,39.47,38.47,33.64,26.95,23.5,21.88,21.1,20.35,19.62,18.91,17.62,15.91,16.01,18.23,20.77
21-Aug-26,24321.93,38,37.14,32.8,26.68,23.5,21.98,21.24,20.52,19.83,19.15,17.92,16.18,16.24,18.47,20.51
18-Sep-26,24392.94,37.59,36.77,32.62,26.59,23.57,22.12,21.42,20.72,20.04,19.39,18.18,16.42,16.23,18.34,20.37
18-Dec-26,24535.91,39.99,38.24,32.71,26.23,23.39,22.12,21.52,20.93,20.37,19.83,18.82,17.23,16.25,17.92,21.63
17-Dec-27,25443.5,36.44,34.88,30.23,25.77,23.8,22.85,22.39,21.94,21.5,21.07,20.27,18.9,16.65,16.2,15.17
15-Dec-28,26418.11,34.11,32.67,28.86,25.4,23.81,23.04,22.65,22.28,21.91,21.54,20.85,19.65,17.69,17.29,15.16
21-Dec-29,27505.2,32.92,31.71,28.61,25.62,24.19,23.48,23.13,22.79,22.45,22.13,21.5,20.38,18.45,17.66,15.22
31-Dec-29,27536.2,32.88,31.66,28.54,25.59,24.17,23.47,23.13,22.79,22.45,22.13,21.5,20.39,18.45,17.66,15.22
31-Dec-30,28713.2,31.68,30.04,26.63,24.43,23.4,22.86,22.59,22.31,22.04,21.76,21.22,20.21,18.14,17.14,14.86
31-Dec-31,30005.3,30.91,29.3,26.15,23.87,22.8,22.26,21.98,21.71,21.44,21.17,20.65,19.68,17.7,16.68,14.49
31-Dec-32,31413.9,30.33,28.52,25.41,23.11,22.03,21.5,21.23,20.97,20.71,20.46,19.96,19.06,17.21,16.2,14.35
30-Dec-33,32927.3,29.88,27.81,24.64,22.35,21.29,20.78,20.53,20.28,20.03,19.8,19.34,18.5,16.74,15.6,14.2
29-Dec-34,34559.91,29.43,27.16,23.95,21.68,20.65,20.15,19.91,19.68,19.44,19.22,18.79,18,16.32,15.09,13.85
